oa_display_name,is_prof,perceived_as_male,host_dept (; delimited if more than one),has_research_group,OpenAlex id,group_url,Notes
 Laurent Hébert‐Dufresne,1.0,1.0,,1.0,a5035455593,https://joint-lab.github.io/people,
Jean-Gabriel Young,1.0,1.0,,1.0,a5070850590,https://joint-lab.github.io/people,
Peter Sheridan Dodds,1.0,1.0,Mathematics & Statistics,1.0,a5040821463,https://compstorylab.org/about/,
Josh Bongard,1.0,1.0,Computer Science,1.0,a5066791342,https://www.meclab.org/people,
Duncan J. Watts,1.0,1.0,Communications; Sociology,1.0,a5000679279,https://css.seas.upenn.edu/people/,
Michelle Girvan,1.0,0.0,,1.0,a5017906200,https://sites.google.com/umd.edu/networks/home/group-members?authuser=0,
M. E. J. Newman,1.0,1.0,,1.0,a5067142016,https://public.websites.umich.edu/~mejn/,
Aaron Clauset,1.0,1.0,,1.0,a5014647140,https://aaronclauset.github.io/labgroup.htm,
Cosma Rohilla Shalizi,1.0,1.0,,1.0,a5082953212,,
Albert László Barabási,1.0,1.0,,1.0,a5025323154,https://www.barabasilab.com/science/about,
Réka Albert,1.0,0.0,,1.0,a5012905268,https://www.ralbert.me/research.html,
Danielle S. Bassett,1.0,-1.0,,1.0,a5009266404,https://complexsystemsupenn.com/,
Christopher M. Danforth,1.0,1.0,,1.0,a5002034958,https://compstorylab.org/about/,
Robert R. McLeod,1.0,1.0,,1.0,a5072481660,https://www.colorado.edu/faculty/mcleod/personnel,
Joshua B. Tenenbaum,1.0,1.0,,1.0,a5071093940,https://cocosci.mit.edu/,
Nicholas J. Gotelli,1.0,1.0,,1.0,a5085232359,https://www.uvm.edu/~ngotelli/homepage.html,
Jay Foley,1.0,1.0,,1.0,a5038397432,https://foleylab.github.io/,
Craig H. Bassing,1.0,1.0,,1.0,a5054148814,https://pathology.med.upenn.edu/department/people/317/craig-h-bassing,
Janis K. Burkhardt,1.0,0.0,,1.0,a5039653234,https://www.burkhardtlab.org/team,Biomed; seems different
Meredith T. Niles,1.0,0.0,,1.0,a5080871120,https://www.meredithtniles.com/students,
Dominique Gravel,1.0,1.0,,1.0,a5037256938,https://ielab.recherche.usherbrooke.ca/,
Antoine Allard,1.0,1.0,,1.0,a5027136376,https://antoineallard.github.io/#team,
