name,pub_year,older,same_age,younger,author_age,institution,existing_collab,new_collab,older_shared_inst,same_age_shared_inst,younger_shared_inst,prop_younger,total_coauth,nb_papers,density,is_prof,group_size,perceived_as_male,department,has_research_group,OpenAlex id,group_url,first_pub_year,college,changing_rate
A. J. Weinstein,1964,2.0,1.0,0.0,0,,0.0,3.0,,,,0.0,3.0,1.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1965,0.0,1.0,0.0,1,,0.0,1.0,,,,0.0,1.0,1.0,,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1970,0.0,1.0,0.0,6,,0.0,1.0,,,,0.0,1.0,3.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1974,0.0,1.0,0.0,10,"University of California, Berkeley",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1979,0.0,2.0,0.0,15,Rice University,1.0,1.0,,,,0.0,2.0,5.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1981,0.0,2.0,1.0,17,"University of California, Berkeley",1.0,2.0,0.0,1.0,0.0,0.3333333333333333,3.0,4.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1982,4.0,15.0,22.0,18,"University of California, Berkeley",1.0,40.0,0.0,1.0,1.0,0.5365853658536586,41.0,4.0,1.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1983,1.0,3.0,2.0,19,"University of California, Berkeley",1.0,5.0,0.0,1.0,0.0,0.3333333333333333,6.0,10.0,0.333,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1984,0.0,2.0,1.0,20,,3.0,0.0,,,,0.3333333333333333,3.0,1.0,0.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
A. J. Weinstein,1985,0.0,2.0,2.0,21,"University of California, Berkeley",3.0,1.0,0.0,0.0,1.0,0.5,4.0,14.0,1.0,1.0,,1.0,Physics,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,,Physical Science,49.820969840000004
