year,title,tldr,subfield,contrib_type,read_lvl,short_title
1985,Culture and the Evolutionary Process," ""classical book by Body and Richersen applying ideas from popuation biology to cultural evolution. brief introduction of cultural group selection.""
",CGS,💡,1️⃣,boyd_culture_1985
1992,Punishment allows the evolution of cooperation (or anything else) in sizable groups," ""Key paper presenting the argument that kin selection alone cannot explain cooperation among large groups of unrelated individuals.""
",CGS,💡,1️⃣,boyd_punishment_1992
1994,Reintroducing group selection to the human behavioral sciences," ""widely cited article that seeks to differentiate modern group selection from naive group selection (c.f. [[Wynne-Edwards]]), thereby putting group selection on a firm standing.""
",CGS,📚,1️⃣,wilson_reintroducing_1994
1997,Introduction: Multilevel Selection Theory Comes of Age," """"
",CGS,💡,1️⃣,wilson_introduction_1997
1999,A Critique of R.D. Alexander's Views on Group Selection," """"
",CGS,💡,1️⃣,wilson_critique_1999
1998,The Evolution of Conformist Transmission and the Emergence of Between-Group Differences," ""Henrich argues that humans are special in that variation among human groups is cultural.""
",CGS,💡,1️⃣,henrich_evolution_1998
2004,"Cultural group selection, coevolutionary processes and large-scale cooperation"," """"
",CGS,💡,1️⃣,henrich_cultural_2004
2011,A Cooperative Species: Human Reciprocity and Its Evolution," ""Humans have social preference to be strong cooperators, contrary to the theory of _homo economicus_. This is how we get cooperation among large-scale groups of distant-related individuals.""
",E,💡,1️⃣,bowles_cooperative_2011
2016,The natural selection of bad science," ""Their definition of group selection is my   goto when I explain how natural selection can act on   research groups. Basically, if you accept that research   methodology exhibit (i) variation, (ii) which has consequences for survival and/or repro of research groups,  and that these method are (iii) heritable (through  PhDs migrating to other institutions and starting their  own lab), you get natural selection.""
",CGS,🗺️,0️⃣,smaldino_natural_2016
2014,The cultural evolution of emergent group-level traits," ""Most important properties of human groups are   in fact properly defined at the level of group organization. *Yet,   most studies focus on the transmission of individual-level traits.*   This makes a difference since we cannot reduce group-level traits   to individuals (there is a qualitative difference in the types of  selection types between the two). Similar to Randall (33), there  is the argument that group-level traits are non-reducible and can  therefore only be defined at level of groups.""
",CGS,📚,1️⃣,smaldino_cultural_2014
2018,Sustainability of minority culture when inter-ethnic interaction is profitable," """"
",CGS,📊,0️⃣,bunce_sustainability_2018
2017,Collective action and the evolution of social norm internalization," """"",CGS,🗺️,0️⃣,gavrilets_collective_2017
