,Unnamed: 0,Publication,h5-index,h5-median
0,1.0,Advanced Materials,312,418
1,2.0,Chemical Reviews,265,444
2,3.0,Angewandte Chemie,245,332
3,4.0,Chemical Society Reviews,244,386
4,5.0,Journal of the American Chemical Society,242,344
5,6.0,Advanced Energy Materials,220,300
6,7.0,ACS Nano,211,277
7,8.0,Advanced Functional Materials,210,280
8,9.0,Energy & Environmental Science,202,290
9,10.0,Applied Catalysis B: Environmental,192,246
10,11.0,Nature Materials,181,265
11,12.0,Chemical engineering journal,181,224
12,13.0,Journal of Materials Chemistry A,178,220
13,14.0,ACS Applied Materials & Interfaces,177,223
14,15.0,Nano Energy,172,232
15,16.0,Nature Energy,170,314
16,17.0,Nano Letters,164,207
17,18.0,Nature Nanotechnology,163,264
18,19.0,ACS Catalysis,163,220
19,20.0,Accounts of Chemical Research,159,211
0,1.0,American Economic Review,160,263
1,2.0,Journal of Business Research,145,233
2,3.0,Technological Forecasting and Social Change,133,185
3,4.0,Journal of Business Ethics,123,176
4,5.0,Tourism Management,122,182
5,6.0,Journal of Financial Economics,120,197
6,7.0,The Review of Financial Studies,115,195
7,8.0,The Quarterly Journal of Economics,113,254
8,9.0,International Journal of Production Economics,111,162
9,10.0,Journal of Retailing and Consumer Services,110,158
10,11.0,Management Science,109,165
11,12.0,Journal of Political Economy,108,217
12,13.0,Journal of Management,107,170
13,14.0,International Journal of Hospitality Management,106,152
14,15.0,World Development,104,148
15,16.0,The Journal of Finance,103,171
16,17.0,Energy Economics,99,139
17,18.0,The Review of Economic Studies,92,150
18,19.0,Strategic Management Journal,92,147
19,20.0,Finance Research Letters,88,147
0,1.0,IEEE/CVF Conference on Computer Vision and Pattern Recognition,389,627
1,2.0,Advanced Materials,312,418
2,3.0,International Conference on Learning Representations,286,533
3,4.0,Neural Information Processing Systems,278,436
4,5.0,IEEE/CVF International Conference on Computer Vision,239,415
5,6.0,International Conference on Machine Learning,237,421
6,7.0,Renewable and Sustainable Energy Reviews,227,324
7,8.0,Advanced Energy Materials,220,300
8,9.0,ACS Nano,211,277
9,10.0,Journal of Cleaner Production,211,273
10,11.0,Advanced Functional Materials,210,280
11,12.0,Energy & Environmental Science,202,290
12,13.0,IEEE Access,200,303
13,14.0,Applied Catalysis B: Environmental,192,246
14,15.0,European Conference on Computer Vision,186,321
15,16.0,Nature Materials,181,265
16,17.0,Chemical engineering journal,181,224
17,18.0,AAAI Conference on Artificial Intelligence,180,296
18,19.0,Journal of Materials Chemistry A,178,220
19,20.0,ACS Applied Materials & Interfaces,177,223
0,1.0,The New England Journal of Medicine,432,780
1,2.0,The Lancet,354,635
2,3.0,Cell,300,505
3,4.0,JAMA,267,425
4,5.0,Proceedings of the National Academy of Sciences,256,364
5,6.0,Nature Medicine,235,389
6,7.0,Journal of Clinical Oncology,213,315
7,8.0,The Lancet Oncology,202,329
8,9.0,PLoS ONE,198,278
9,10.0,Journal of the American College of Cardiology,195,276
10,11.0,Nature Genetics,191,297
11,12.0,BMJ,190,307
12,13.0,Circulation,189,301
13,14.0,International Journal of Molecular Sciences,183,253
14,15.0,The Lancet Infectious Diseases,173,296
15,16.0,Frontiers in Immunology,173,228
16,17.0,Gastroenterology,166,254
17,18.0,Cochrane Database of Systematic Reviews,165,243
18,19.0,Blood,165,229
19,20.0,Neuron,164,231
0,1.0,Digital Journalism,61,108
1,2.0,System,58,74
2,3.0,Journalism Studies,56,74
3,4.0,Journalism,53,77
4,5.0,Journal of Communication,50,78
5,6.0,Synthese,50,72
6,7.0,The Modern Language Journal,48,85
7,8.0,"Media, Culture & Society",47,72
8,9.0,International Journal of Communication,47,71
9,10.0,Journal of Religion and Health,47,55
10,11.0,Political Communication,45,97
11,12.0,Race Ethnicity and Education,43,66
12,13.0,Language Teaching,42,71
13,14.0,Language Learning,42,69
14,15.0,TESOL Quarterly,42,57
15,16.0,Applied Linguistics,40,77
16,17.0,The International Journal of Press/Politics,39,57
