year,title,tldr,subfield,contrib_type,read_lvl,short_title
1974,The road to agreement Subgroup pressures in small group consensus processes.," ""How do small groups of WEIRD people reach consensus. Models of different processes. do the role or position of each individual matters the most. Maybe the size of the group. Following Asch, the role of conformity, uplifting the role of the majority.""
",S,🗺️,0️⃣,godwin_road_1974
1977,Some Effects of Proportions on Group Life Skewed Sex Ratios and Responses to Token Women," ""The importance of proportion when dominant and rare, or tokens, strategies are spreading within a group. This notion of tokens is called tokenism in socio. Drawing from Simmel, adoption of tokens depends on visibility, polarization, and assimilation. It has been fundamental in how women can take their place in traditionally male dominated space, but remained undertheorized.""
",S,📊,0️⃣,kanter_effects_1977
1982,Hypernetwork sampling: Duality and differentiation among voluntary organizations," """"
",S,🗺️,0️⃣,mcpherson_hypernetwork_1982
1938,Quantitative Methods in Politics-Statistical view of a perceptual world," ""Cool paper. Campbell (1958) cites Rice as a earlier reference asking ""when is an aggregate of persons an entity"", or when social units are ""real"" more generally. In the paper, Rice is noticing that known principles from perception can be used to explain why we feel that some entities, like a Jazz band, can be thought as entity. But nonetheless that the organization of the jazz band 'seems less tangible than the saxophone'.  Rice is arguing that perceiving is reality is socially constructed, so that it is not crazy to think that we can perceive groups and that groups can do things. ""
",S,💡,0️⃣,rice_quantitative_1938
1958,"Common fate, similarity, and other indices of the status of aggregates of persons as social entities"," ""Campbell argues that, yes, 'groups are real'. He addresses Spencer's argument that the ontological status of groups---if a group is a thing--- depends on persistence, arrangement of their parts, and hence discusses how groups can be entities of varying degrees. Key elements making groups as entities are: proximity, similarity, common fate, and pregnance""
",S,💡,1️⃣,campbell_common_1958
1956,Groups Are Real: A Reaffirmation," """"
",S,💡,0️⃣,warriner_groups_1956
1974,The Duality of Persons and Groups," """"
",S,📊,0️⃣,breiger_duality_1974
1981,Units of Evolution: A Metaphysical Essay," """"
",S,💡,0️⃣,hull_units_1981
1997,Aggregativity: Reductive Heuristics for Finding Emergence," """"
",S,💡,0️⃣,wimsatt_aggregativity_1997
1990,"Sacrifice for the Cause: Group Processes, Recruitment, and Commitment in a Student Social Movement"," """"
",S,📊,0️⃣,hirsch_sacrifice_1990
2023,The duality of networks and groups: Models to generate two-mode networks from one-mode networks," ""Since networks are more real than groups, Neal says that sociology focused on deriving social networks from groups. But he offers generative models to go the other way. finding groups from social networks. This is analogous to reconstructing higher order networks from networks in physics.""
",S,📚,1️⃣,neal_duality_2023
1981,The Focused Organization of Social Ties," ""Social circles as essential to friendship networks, aka the role of higher-order patterns in explaining pairwise interactions... This idea of circles is a key idea from [[simmel_persistence_1898|Simmel]], saying that modern society consists of loosely connected social circles of relationships. Feld complain that network analysis are carried out without concerns to those social circles. He define a _focus_ as entity around which joint activities take place, e.g. voluntary organizations, workplaces, hangouts, families... Also citing [[P. Blau]], [[Robert K. Merton]], [[Jacob L. Moreno]]...""
",S,📊,0️⃣,feld_focused_1981
2012,Social networks and cooperation in hunter-gatherers," ""The interplay of the structure and dynamics and social networks of the Hazda people. How do degree distribution interact with reciprocity. Related to CGS and Public Goods, as they show how Hazda camps exhibit high between group and low-within group variation in PGG.""
",S,📊,1️⃣,apicella_social_2012
1976,ON THE CONFLICTS BETWEEN BIOLOGICAL AND SOCIAL EVOLUTION AND BETWEEN PSYCHOLOGY AND MORAL TRADITION," """"
",S,💡,0️⃣,campbell_conflicts_1976
2003,Structural Cohesion and Embeddedness: A Hierarchical Concept of Social Groups," ""Similar in spirit from [[campbell_common_1958]] but does not cite Campbell. The gist of the paper is how to quantify structural cohesion of social groups. Although there are ideas of group interactions in the paper, what matter at the end is the pairwise interactions, for instance group size, low betweenness so that there are more independent paths among group members, robustness to disconnections, things like that.""
",S,💡,0️⃣,moody_structural_2003
2018,Mere Membership," """" ",S,📚,0️⃣,dunham_mere_2018
